Timestamp,Milliseconds,X,Y,Z
2020-05-25 08:01:43,2,-0.29597473,7.5740356,6.5802
2020-05-25 08:01:43,12,-0.29597473,7.5740356,6.5802
2020-05-25 08:01:43,22,-0.061935425,7.5093994,6.369507
2020-05-25 08:01:43,33,0.02305603,7.4399567,6.259384
2020-05-25 08:01:43,42,-0.0098724365,7.515381,6.200119
2020-05-25 08:01:43,52,-0.009262085,7.5608673,6.2456207
2020-05-25 08:01:43,62,0.061965942,7.469284,6.2599792
2020-05-25 08:01:43,73,0.11941528,7.4064484,6.140274
2020-05-25 08:01:43,82,0.012878418,7.448944,6.018158
2020-05-25 08:01:43,92,-0.35762024,7.6213226,5.7793427
2020-05-25 08:01:43,103,-0.72932434,7.659622,5.856552
2020-05-25 08:01:43,112,-0.7999573,7.665619,5.939163
2020-05-25 08:01:43,122,-0.7927704,7.685364,6.3216248
2020-05-25 08:01:43,133,-0.66407776,7.57164,6.4652863
2020-05-25 08:01:43,142,-0.5258179,7.4633026,6.4233856
2020-05-25 08:01:43,152,-0.32769775,7.43338,6.184555
2020-05-25 08:01:44,164,-0.2253418,7.441757,5.872116
2020-05-25 08:01:44,173,-0.20619202,7.445343,5.799698
2020-05-25 08:01:44,183,-0.21636963,7.444153,5.8098755
2020-05-25 08:01:44,192,-0.21755981,7.4788666,5.9050446
2020-05-25 08:01:44,209,-0.2073822,7.4956207,5.9553223
2020-05-25 08:01:44,212,-0.22593689,7.503998,6.1546326
2020-05-25 08:01:44,222,-0.24569702,7.4974213,6.20372
2020-05-25 08:01:44,233,-0.2032013,7.5016174,6.1187286
2020-05-25 08:01:44,242,-0.14094543,7.496231,6.0283356
2020-05-25 08:01:44,252,-0.09605408,7.4704895,5.9373627
2020-05-25 08:01:44,262,-0.035598755,7.4543304,5.981659
2020-05-25 08:01:44,273,0.024856567,7.4698944,6.0708313
2020-05-25 08:01:44,282,0.05895996,7.461502,6.1696014
2020-05-25 08:01:44,292,0.05418396,7.4226074,6.251602
2020-05-25 08:01:44,302,0.0056915283,7.428589,6.2893066
2020-05-25 08:01:44,313,-0.05355835,7.421997,6.3318024
2020-05-25 08:01:44,322,-0.037994385,7.3872833,6.356949
2020-05-25 08:01:44,333,0.026046753,7.342392,6.416794
2020-05-25 08:01:44,343,0.18824768,7.330429,6.372513
2020-05-25 08:01:44,352,0.24032593,7.3202515,6.358734
2020-05-25 08:01:44,362,0.29060364,7.259201,6.325226
2020-05-25 08:01:44,372,0.23612976,7.2143097,6.330017
2020-05-25 08:01:44,382,0.16012573,7.228668,6.4557037
2020-05-25 08:01:44,392,0.06794739,7.2579956,6.635269
2020-05-25 08:01:44,402,0.012283325,7.2526093,6.709488
2020-05-25 08:01:44,412,0.03024292,7.2651825,6.662796
2020-05-25 08:01:44,423,0.021255493,7.3136597,6.531723
2020-05-25 08:01:44,432,-0.015258789,7.3358154,6.4102173
2020-05-25 08:01:44,442,-0.0990448,7.3848877,6.3000793
2020-05-25 08:01:44,452,-0.17088318,7.4351654,6.2402344
2020-05-25 08:01:44,463,-0.26304626,7.493225,6.263565
2020-05-25 08:01:44,472,-0.2528839,7.4986115,6.2767334
2020-05-25 08:01:44,482,-0.17506409,7.4908295,6.2653656
2020-05-25 08:01:44,495,-0.06074524,7.4513397,6.16362
2020-05-25 08:01:44,502,0.009887695,7.4184113,6.0756226
2020-05-25 08:01:44,513,0.078125,7.369934,5.9457397
2020-05-25 08:01:44,522,0.049987793,7.3795013,5.931381
2020-05-25 08:01:44,532,-0.14753723,7.441162,6.0684357
2020-05-25 08:01:44,542,-0.25527954,7.477066,6.1929474
2020-05-25 08:01:44,552,-0.32051086,7.4956207,6.283325
2020-05-25 08:01:44,563,-0.3618164,7.4938354,6.266556
2020-05-25 08:01:44,572,-0.32530212,7.4585114,6.124115
2020-05-25 08:01:44,582,-0.2546692,7.4477386,6.0049896
2020-05-25 08:01:44,593,-0.16369629,7.432785,5.9475403
2020-05-25 08:01:44,602,-0.18882751,7.425003,5.9684906
2020-05-25 08:01:44,613,-0.19003296,7.393875,6.0995636
2020-05-25 08:01:44,623,-0.16369629,7.3609467,6.18277
2020-05-25 08:01:44,632,-0.12658691,7.3926697,6.2492065
2020-05-25 08:01:44,642,-0.0942688,7.4118347,6.275543
2020-05-25 08:01:44,652,-0.05116272,7.3675385,6.414398
2020-05-25 08:01:44,663,-0.09126282,7.342392,6.550873
2020-05-25 08:01:44,673,-0.19841003,7.3639374,6.717865
2020-05-25 08:01:44,682,-0.23492432,7.382492,6.7950897
2020-05-25 08:01:44,692,-0.18823242,7.3352203,6.8184204
2020-05-25 08:01:44,702,-0.16369629,7.3058777,6.7986755
2020-05-25 08:01:44,713,-0.083496094,7.2298737,6.710083
2020-05-25 08:01:44,723,-0.043380737,7.192154,6.590378
2020-05-25 08:01:44,732,-0.097854614,7.19516,6.5442963
2020-05-25 08:01:44,743,-0.16130066,7.214905,6.5341187
2020-05-25 08:01:44,752,-0.26963806,7.2484283,6.5730286
2020-05-25 08:01:44,762,-0.36001587,7.3118744,6.595169
2020-05-25 08:01:44,773,-0.27922058,7.3376007,6.491623
2020-05-25 08:01:44,782,-0.18284607,7.3094788,6.369507
2020-05-25 08:01:44,793,-0.042785645,7.2568054,6.2653656
2020-05-25 08:01:44,802,-0.0050811768,7.2699738,6.251602
2020-05-25 08:01:44,814,-0.047576904,7.3034973,6.2174835
2020-05-25 08:01:44,822,-0.12599182,7.342392,6.2126923
2020-05-25 08:01:44,837,-0.19003296,7.3447876,6.2719574
2020-05-25 08:01:44,843,-0.20080566,7.3214417,6.314453
2020-05-25 08:01:44,855,-0.05834961,7.250824,6.3796844
2020-05-25 08:01:44,864,0.08590698,7.1424866,6.366516
2020-05-25 08:01:44,872,0.03262329,7.093994,6.327011
2020-05-25 08:01:44,882,-0.13916016,7.1347046,6.2737427
2020-05-25 08:01:44,893,-0.4887085,7.27536,6.2378387
2020-05-25 08:01:44,902,-0.7442932,7.3046875,6.2049103
2020-05-25 08:01:44,912,-0.99687195,7.3034973,6.1791687
2020-05-25 08:01:44,923,-1.3853302,7.310074,6.056473
2020-05-25 08:01:44,932,-1.6307373,7.35437,5.918213
2020-05-25 08:01:44,942,-1.7301025,7.3914795,5.8745117
2020-05-25 08:01:44,953,-2.1604614,7.5225677,5.7577972
2020-05-25 08:01:44,962,-2.677002,7.7350464,5.694351
2020-05-25 08:01:44,972,-3.6263123,7.9684753,5.27417
2020-05-25 08:01:44,982,-4.393051,8.292297,4.97908
2020-05-25 08:01:44,993,-5.274124,8.543686,4.3326416
2020-05-25 08:01:44,1003,-5.7936554,8.689728,3.9962616
2020-05-25 08:01:44,1015,-6.353302,8.8980255,3.5258026
2020-05-25 08:01:44,1022,-6.684906,9.086578,3.2450867
2020-05-25 08:01:44,1032,-6.8728485,9.273926,2.9494019
2020-05-25 08:01:44,1042,-6.672928,9.184738,2.8057404
2020-05-25 08:01:44,1052,-5.7415924,8.872299,2.661499
2020-05-25 08:01:44,1063,-5.281906,8.729843,2.243103
2020-05-25 08:01:44,1072,-5.2400055,8.770538,1.6900482
2020-05-25 08:01:44,1083,-5.213669,8.7717285,1.5272369
2020-05-25 08:01:44,1092,-4.614517,8.458099,1.5128784
2020-05-25 08:01:44,1102,-3.9938202,8.00499,1.6427612
2020-05-25 08:01:44,1112,-3.0912018,7.0323486,2.0814972
2020-05-25 08:01:44,1124,-2.032364,5.9495697,2.6968079
2020-05-25 08:01:44,1132,-1.2129517,5.2995453,3.4473877
2020-05-25 08:01:44,1142,-0.44441223,4.720749,4.429611
2020-05-25 08:01:44,1153,0.66648865,3.9563904,6.112137
2020-05-25 08:01:45,1162,1.3440552,3.5415955,7.0542603
2020-05-25 08:01:45,1172,2.652481,2.9765625,8.11908
2020-05-25 08:01:45,1182,3.860962,2.5593872,8.881027
2020-05-25 08:01:45,1194,5.7990723,1.713623,10.516266
2020-05-25 08:01:45,1202,6.790268,1.1863098,11.415894
2020-05-25 08:01:45,1212,7.878433,0.8020325,12.421463
2020-05-25 08:01:45,1222,8.175308,0.79486084,12.821884
2020-05-25 08:01:45,1233,7.9275055,1.0498352,12.900894
2020-05-25 08:01:45,1242,7.5486298,1.2180328,12.424454
2020-05-25 08:01:45,1252,7.269104,1.2940369,11.791183
2020-05-25 08:01:45,1262,7.0859528,1.2802734,10.901733
2020-05-25 08:01:45,1272,6.9195557,1.056427,10.438461
2020-05-25 08:01:45,1282,6.5352783,0.3405609,9.647781
2020-05-25 08:01:45,1295,5.3764954,0.055648804,9.118057
2020-05-25 08:01:45,1307,4.3188477,-0.10057068,8.874451
2020-05-25 08:01:45,1313,2.8200836,-0.7069092,8.010742
2020-05-25 08:01:45,1323,1.8300781,-0.8960571,7.282898
2020-05-25 08:01:45,1332,0.8041687,-1.2653503,6.4904175
2020-05-25 08:01:45,1342,0.53900146,-1.8525391,6.14505
2020-05-25 08:01:45,1352,0.20980835,-2.7964478,5.3483887
2020-05-25 08:01:45,1362,-0.23851013,-2.9263306,5.508194
2020-05-25 08:01:45,1373,-2.859558,-3.2142334,7.2529755
2020-05-25 08:01:45,1382,-4.582794,-3.0388641,9.022888
2020-05-25 08:01:45,1392,-6.337143,-2.8622894,10.682663
2020-05-25 08:01:45,1402,-8.522446,-2.8359528,12.392731
2020-05-25 08:01:45,1413,-10.070908,-2.7048645,13.41864
2020-05-25 08:01:45,1422,-10.658081,-2.378067,14.440369
2020-05-25 08:01:45,1433,-11.613968,-1.5167542,13.947754
2020-05-25 08:01:45,1442,-12.613541,-0.53393555,12.858398
2020-05-25 08:01:45,1452,-14.299057,1.5526123,10.568939
2020-05-25 08:01:45,1462,-15.343536,3.1699066,8.873856
2020-05-25 08:01:45,1473,-15.995361,5.16008,6.385071
2020-05-25 08:01:45,1482,-15.497955,5.678421,5.512985
2020-05-25 08:01:45,1492,-15.144806,5.866974,4.9605255
2020-05-25 08:01:45,1502,-14.264938,6.0010376,5.8888855
2020-05-25 08:01:45,1513,-12.698532,5.5653076,6.91539
2020-05-25 08:01:45,1522,-10.85321,4.8578186,8.079575
2020-05-25 08:01:45,1533,-9.457993,3.8372803,8.427338
2020-05-25 08:01:45,1542,-8.486542,2.8616486,7.6994934
2020-05-25 08:01:45,1552,-6.950058,1.5675812,6.555069
2020-05-25 08:01:45,1563,-6.412567,0.8726654,6.033127
2020-05-25 08:01:45,1572,-6.2677155,0.18553162,6.0582733
2020-05-25 08:01:45,1583,-6.1174774,-0.34120178,6.421585
2020-05-25 08:01:45,1592,-5.681732,-1.1564178,7.4594727
2020-05-25 08:01:45,1602,-5.75296,-0.90802,8.802017
2020-05-25 08:01:45,1613,-5.6643677,-0.30827332,10.694641
2020-05-25 08:01:45,1622,-5.3465424,-0.17599487,11.347656
2020-05-25 08:01:45,1632,-5.132263,-0.16163635,11.700806
2020-05-25 08:01:45,1642,-4.901825,-0.27775574,11.474548
2020-05-25 08:01:45,1653,-4.898834,-0.26997375,10.243927
2020-05-25 08:01:45,1662,-4.937729,-0.19754028,9.314987
2020-05-25 08:01:45,1673,-4.847351,-0.6446533,7.8545227
2020-05-25 08:01:45,1682,-4.7982635,-1.2438049,6.4311676
2020-05-25 08:01:45,1692,-4.6552124,-1.2569733,3.768814
2020-05-25 08:01:45,1702,-5.048462,-0.74342346,1.9797516
2020-05-25 08:01:45,1712,-3.095398,0.45967102,4.1776276
2020-05-25 08:01:45,1723,-2.2628174,1.2958374,4.46373
2020-05-25 08:01:45,1732,-3.6023712,1.5310669,3.875946
2020-05-25 08:01:45,1742,-4.86351,1.8387299,5.4704895
2020-05-25 08:01:45,1752,-6.332947,1.871048,7.7515717
2020-05-25 08:01:45,1763,-6.249161,1.0959167,8.843918
2020-05-25 08:01:45,1772,-4.969452,-0.8535614,9.536438
2020-05-25 08:01:45,1782,-4.13089,-2.1697693,9.668121
2020-05-25 08:01:45,1793,-3.7627716,-3.3560944,9.659149
2020-05-25 08:01:45,1802,-4.3990326,-4.7549133,9.559189
2020-05-25 08:01:45,1813,-5.921753,-5.4558105,9.574753
2020-05-25 08:01:45,1822,-7.0422363,-5.3301086,9.335327
2020-05-25 08:01:45,1832,-7.5563965,-4.4789734,8.879242
2020-05-25 08:01:45,1842,-6.099518,-3.4524536,8.939087
2020-05-25 08:01:45,1853,-4.487625,-2.330185,9.342514
2020-05-25 08:01:45,1862,-4.957489,-1.255188,9.774063
2020-05-25 08:01:45,1872,-5.6990814,-0.5105896,10.440262
2020-05-25 08:01:45,1882,-6.5723724,-0.021575928,11.5703125
2020-05-25 08:01:45,1892,-6.6825104,-0.4920349,11.490112
2020-05-25 08:01:45,1903,-6.2772827,-1.0444946,10.580917
2020-05-25 08:01:45,1912,-4.9149933,-1.5568542,9.044434
2020-05-25 08:01:45,1922,-4.0081787,-1.6909332,8.37825
2020-05-25 08:01:45,1933,-2.937973,-1.9943848,8.284271
2020-05-25 08:01:45,1942,-2.317871,-2.1919098,8.697281
2020-05-25 08:01:45,1952,-1.329071,-2.7503662,10.37262
2020-05-25 08:01:45,1962,-0.63235474,-3.3788452,12.097046
2020-05-25 08:01:45,1972,-0.31811523,-3.6840973,13.273788
2020-05-25 08:01:45,1983,-0.56352234,-3.2896576,13.529373
2020-05-25 08:01:45,1992,-1.0878601,-2.6623688,13.170242
2020-05-25 08:01:45,2003,-1.2063751,-2.6186829,11.675659
2020-05-25 08:01:45,2012,-1.3979034,-3.1507874,9.723785
2020-05-25 08:01:45,2022,-1.3218842,-3.9091492,8.235794
2020-05-25 08:01:45,2033,-1.0261993,-4.2377625,8.233994
