window_index,accel_mag_mean,accel_mag_std,accel_mag_peak,gyro_mag_mean,gyro_mag_std,gyro_mag_peak,jerk_mean,jerk_std,jerk_peak,impact_duration_s,peak_acceleration,rotational_energy,reconstruction_error,ax_reconstruction_error,ay_reconstruction_error,az_reconstruction_error,gx_reconstruction_error,gy_reconstruction_error,gz_reconstruction_error,ax_mean,ax_std,ax_min,ax_max,ax_p95,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_p95,ay_energy,az_mean,az_std,az_min,az_max,az_p95,az_energy,gx_mean,gx_std,gx_min,gx_max,gx_p95,gx_energy,gy_mean,gy_std,gy_min,gy_max,gy_p95,gy_energy,gz_mean,gz_std,gz_min,gz_max,gz_p95,gz_energy,group,crash_label,risk_label
0.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
1.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
2.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
3.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
4.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
5.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
6.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
7.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
8.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
9.0,0.7151161432266235,5.960464477539063e-08,0.7151162028312683,1.1157702207565308,0.0,1.1157702207565308,0.0,0.0,0.0,4.0,0.7151162028312683,1.2449432611465454,15.9910306930542,0.15542635321617126,4.887576580047607,89.6803970336914,0.001028740662150085,0.8123098015785217,0.2233460545539856,0.39308851957321167,0.0,0.39308851957321167,0.39308851957321167,0.39308851957321167,0.15451858937740326,0.43917977809906006,8.940696716308594e-08,0.4391796886920929,0.4391796886920929,0.4391796886920929,0.19287879765033722,0.4049614369869232,2.9802322387695312e-08,0.40496140718460083,0.40496140718460083,0.40496140718460083,0.1639937162399292,0.04534125700592995,0.0,0.04534125700592995,0.04534125700592995,0.04534125700592995,0.0020558293908834457,1.0144662857055664,0.0,1.0144662857055664,1.0144662857055664,1.0144662857055664,1.0291420221328735,0.4623260200023651,2.9802322387695312e-08,0.4623259902000427,0.4623259902000427,0.4623259902000427,0.2137453407049179,normal,0,0
